anime_name;anime_url;image_path;created_at;updated_at
Fairy Tail;https://animem.org/fairy-tail;/img/anime_62.jpg;2022-06-01;2022-06-01
Fullmetal Alchemist Series;https://animem.org/Fullmetal_Alchemist_Series;/img/anime_63.jpg;2022-06-01;2022-06-01
Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu;https://animem.org/Gaikotsu_Kishi-sama,_Tadaima_Isekai_e_Odekakechuu;/img/anime_64.jpg;2022-06-01;2022-06-01
Gakkou no Kaidan;https://animem.org/gakkou-no-kaidan;/img/anime_65.jpg;2022-06-01;2022-06-01
Ganbare Douki-chan;https://animem.org/ganbare-douki-chan;/img/anime_66.jpg;2022-06-01;2022-06-01
Gate: Jieitai Kanochi nite, Kaku Tatakaeri;https://animem.org/gate-jieitai-kanochi-nite-kaku-tatakaeri;/img/anime_67.jpg;2022-06-01;2022-06-01
Gekkan Shoujo Nozaki-kun;https://animem.org/gekkan-shoujo-nozaki-kun;/img/anime_68.jpg;2022-06-01;2022-06-01
Genjitsu Shugi Yuusha no Oukoku Saikenki;https://animem.org/genjitsu-shugi-yuusha-no-oukoku-saikenki;/img/anime_69.jpg;2022-06-01;2022-06-01
Getsuyoubi no Tawawa;https://animem.org/Getsuyoubi_no_Tawawa;/img/anime_70.jpg;2022-06-01;2022-06-01
Given;https://animem.org/given;/img/anime_71.jpg;2022-06-01;2022-06-01
Goblin Slayer;https://animem.org/goblin-slayer;/img/anime_72.jpg;2022-06-01;2022-06-01
God Eater;https://animem.org/god-eater;/img/anime_73.jpg;2022-06-01;2022-06-01
Golden Time;https://animem.org/golden-time;/img/anime_74.jpg;2022-06-01;2022-06-01
Grancrest Senki;https://animem.org/grancrest-senki;/img/anime_75.jpg;2022-06-01;2022-06-01
Granblue Fantasy The Animation Series;https://animem.org/Granblue_Fantasy_The_Animation_Series;/img/anime_76.jpg;2022-06-01;2022-06-01
Grand Blue;https://animem.org/Grand_Blue;/img/anime_77.jpg;2022-06-01;2022-06-01
Hachi-nan tte, Sore wa Nai deshou!;https://animem.org/hachi-nan-tte-sore-wa-nai-deshou;/img/anime_78.jpg;2022-06-02;2022-06-02
Hagure Yuusha no Aesthetica;https://animem.org/hagure-yuusha-no-aesthetica;/img/anime_79.jpg;2022-06-02;2022-06-02
